_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
62fa6e044d8250424fab5669||79.3|97.39|81.3|74.43|516,5,1,0|words|100|-1|2|78.08|1|4.74|false|false|english|none|normal|false|false|false||1660579332000
62f615504d8250424fa47a96||72.9|96.6|76.31|76.59|492,3,1,2|words|100|-1|4|80.99|0|33.32|false|false|english|none|normal|false|false|false||1660294480000
62f4ce934d8250424f2b8dd5|true|81.97|98.43|82.96|77.07|497,1,0,0|words|100|-1|2|72.76|0|7.81|false|false|english|none|normal|false|false|false||1660210835000
62f4ce3c4d8250424f2b8bda||87.2|100|87.2|87.22|109,0,0,0|time|15|-1|14|15|0|164.54|false|false|english|none|normal|false|false|false||1660210748000
62f227644d8250424f1f46c8|true|73.91|95.15|76.92|71.91|516,3,2,1|words|100|-1|2|83.78|0|23.42|false|false|english|none|normal|false|false|false||1660036964000
62f2262b4d8250424f1f3f0e||90.25|100|90.25|86.55|118,0,0,0|words|25|-1|0|15.69|0|0|false|false|english|none|normal|false|false|false||1660036651000
62f226194d8250424f1f3e9b||81.51|94.66|86.19|84.94|122,3,1,0|words|25|-1|1|17.96|0|5.44|false|false|english|none|normal|false|false|false||1660036633000
62f225694d8250424f1b4776||82.96|97.71|86.95|74.71|125,2,0,0|words|25|-1|10|18.08|0|37.26|false|false|english|none|normal|false|false|false||1660036457000
62f092e04d8250424f4fa8e6||79.22|96.18|86.43|85.19|143,1,2,0|words|25|-1|6|21.66|0|36.3|false|false|english|none|normal|false|false|false||1659933408000
62eb8b63c98df5e16dbbcee8|true|96.9|100|96.9|78.7|138,0,0,0|words|25|-1|1|17.09|0|15.3|false|false|english|none|normal|false|false|false||1659603811000
62eb8b23c98df5e16dbbcd60||90.34|99.12|90.34|81.52|113,0,0,0|time|15|-1|1|15.01|0|6.77|false|false|english|none|normal|false|false|false||1659603747000
62eb7a9cc98df5e16da7dd49||72.8|97.85|72.8|80.29|91,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1659599516000
62eb7948c98df5e16da7d4c5||91.14|100|91.14|84.21|114,0,0,0|time|15|-1|7|15.01|0|20.74|false|false|english|none|normal|false|false|false||1659599176000
62eb7321c98df5e16d9fdd04||70.19|92.54|77.19|69.5|351,6,3,2|time|60|-1|3|60.01|0|7.8|false|false|english|none|normal|false|false|false||1659597601000
